id,page,track,sub,x0,x1,y,arrival_train,departure_train,arrival_time,departure_time,vehicle_count,bar_color,continues_from_prev,continues_to_next,stitched_from
371,7,16,2,192.6,247.6,498.7,3072,7375,18:45,18:58,1,"0.600,0.800,1.000",False,False,
372,7,16,3,192.6,265.7,507.6,3072,,18:45,19:05,1,"0.733,0.710,0.616",False,False,
373,7,16,3,302.3,357.5,507.6,3074,,19:17,19:31,1,"0.733,0.710,0.616",False,False,
374,7,16,3,412.3,522.4,507.6,3076,3081,19:48,20:16,1,"0.733,0.710,0.616",False,False,
375,7,16,3,650.4,229.3,507.6,,11167,20:54,21:53,1,"0.800,1.000,0.800",False,False,483
376,8,1,3,137.4,331.7,73.4,,3588,21:28,22:22,1,"1.000,0.949,0.584",False,False,
377,8,1,3,382.9,551.8,73.4,3583,,22:40,23:26,1,"1.000,0.949,0.584",False,False,
378,8,2,3,97.2,181.6,109.6,3581,3586,21:18,21:39,1,"1.000,0.949,0.584",False,False,
379,8,2,3,316.9,401.5,109.6,3585,3590,22:21,22:42,1,"1.000,0.949,0.584",False,False,
380,8,2,3,536.9,621.2,109.6,3589,3594,23:24,23:45,1,"1.000,0.949,0.584",False,False,
381,8,3,2,181.4,339.1,136.7,445,,21:42,22:26,1,"0.000,1.000,1.000",False,False,
382,8,3,2,401.4,559.1,136.7,447,,22:45,23:28,1,"0.000,1.000,1.000",False,False,
383,8,3,2,621.1,705.7,136.7,449,,23:47,,1,"0.000,1.000,1.000",False,True,
384,8,4,1,265.6,383.0,154.9,13233,3400,22:07,22:37,2,"1.000,0.800,0.600",False,False,
385,8,4,2,163.2,218.2,163.8,3579,,21:37,21:51,1,"1.000,0.949,0.584",False,False,
386,8,4,2,485.6,705.7,163.8,17383,3500,23:09,,1,"1.000,0.949,0.584",False,True,
387,8,5,1,602.9,705.7,182.0,3489,3420,23:42,,1,"1.000,0.800,0.600",False,True,
388,8,6,1,247.4,705.7,208.9,,164,22:00,,1,"0.000,1.000,1.000",False,True,
389,8,6,2,108.1,163.3,218.2,,3486,21:20,21:34,1,"1.000,0.800,0.600",False,False,
390,8,6,2,192.6,705.7,218.2,,168,21:44,,1,"0.000,1.000,1.000",False,True,
391,8,7,1,192.6,705.7,236.0,2397,382,21:45,,1,"0.396,0.478,0.529",False,True,
392,8,8,1,375.6,430.8,263.3,,17388,22:36,22:50,1,"1.000,0.600,0.800",False,False,
393,8,8,2,111.8,210.8,272.5,3481,17384,21:23,21:47,1,"1.000,0.600,0.800",False,False,
394,8,8,2,357.4,430.8,272.5,,17388,22:31,22:50,1,"1.000,0.600,0.800",False,False,
395,8,8,2,503.8,613.9,272.5,80443,,23:15,23:44,1,"0.000,1.000,1.000",False,False,
396,8,9,2,45.8,100.9,299.6,13779,,21:04,21:18,1,"1.000,0.400,0.000",False,False,
397,8,9,2,595.6,705.7,299.6,3689,3602,23:40,,1,"0.800,0.600,1.000",False,True,
398,8,10,2,119.3,174.2,326.8,3681,,21:25,21:39,1,"0.800,0.600,1.000",False,False,
399,8,10,2,229.2,320.9,326.8,3683,3688,21:56,22:19,1,"0.800,0.600,1.000",False,False,
400,8,10,2,375.6,430.8,326.8,3685,,22:38,22:52,1,"0.800,0.600,1.000",False,False,
401,8,10,2,485.6,540.6,326.8,,3692,23:07,23:22,1,"0.800,0.600,1.000",False,False,
402,8,10,2,595.6,650.5,326.8,,17302,23:39,23:52,1,"1.000,0.600,0.800",False,False,
403,8,11,2,375.6,522.4,353.9,496,,22:37,23:18,1,"0.000,1.000,1.000",False,False,
404,8,11,2,691.0,705.7,353.9,,481,23:59,,1,"0.000,1.000,1.000",False,True,
405,8,12,2,302.3,357.5,381.1,13783,,22:17,22:31,1,"1.000,0.600,0.800",False,False,
406,8,13,1,45.8,100.9,399.0,11106,,21:04,21:18,2,"0.800,1.000,0.800",False,False,
407,8,13,2,192.6,412.4,408.0,3084,3091,21:45,22:45,1,"0.733,0.710,0.616",False,False,
408,8,14,2,82.6,192.7,435.1,3082,3087,21:14,21:42,1,"0.733,0.710,0.616",False,False,
409,8,14,2,313.4,368.4,435.1,11114,,22:20,22:34,1,"0.800,1.000,0.800",False,False,
410,8,16,3,412.3,705.7,507.6,3088,3021,22:48,,1,"0.733,0.710,0.616",False,True,
